2807.31,15
2805.99,15
2804.66,25
2803.34,22
2802.01,14
2800.69,24
2799.36,16
2798.04,17
2796.71,13
2795.38,20
2794.06,15
2792.73,17
2791.4,17
2790.07,20
2788.75,12
2787.42,12
2786.09,17
2784.76,16
2783.43,17
2782.11,22
2780.78,20
2779.45,24
2778.12,17
2776.79,17
2775.46,17
2774.13,16
2772.8,20
2771.47,21
2770.14,22
2768.81,17
2767.47,21
2766.14,25
2764.81,24
2763.48,30
2762.15,24
2760.81,23
2759.48,27
2758.15,22
2756.81,30
2755.48,23
2754.15,34
2752.81,28
2751.48,19
2750.14,24
2748.81,24
2747.47,25
2746.14,28
2744.8,25
2743.47,24
2742.13,38
2740.8,30
2739.46,38
2738.12,37
2736.79,36
2735.45,32
2734.11,43
2732.77,43
2731.44,36
2730.1,40
2728.76,47
2727.42,55
2726.08,50
2724.74,67
2723.4,73
2722.06,74
2720.72,87
2719.38,72
2718.04,88
2716.7,99
2715.36,90
2714.02,99
2712.68,95
2711.34,111
2710,114
2708.66,123
2707.31,111
2705.97,116
2704.63,133
2703.29,130
2701.94,138
2700.6,167
2699.26,158
2697.91,136
2696.57,141
2695.23,165
2693.88,150
2692.54,148
2691.19,151
2689.85,150
2688.5,142
2687.15,146
2685.81,150
2684.46,136
2683.12,143
2681.77,162
2680.42,147
2679.08,131
2677.73,145
2676.38,161
2675.03,123
2673.69,111
2672.34,118
2670.99,125
2669.64,108
2668.29,97
2666.94,92
2665.59,96
2664.24,94
2662.89,80
2661.54,79
2660.19,63
2658.84,64
2657.49,62
2656.14,66
2654.79,59
2653.44,61
2652.08,66
2650.73,59
2649.38,59
2648.03,58
2646.67,69
2645.32,59
2643.97,47
2642.61,64
2641.26,48
2639.91,54
2638.55,52
2637.2,60
2635.84,51
2634.49,47
2633.13,53
2631.78,38
2630.42,45
2629.06,53
2627.71,42
2626.35,43
2625,31
2623.64,42
2622.28,32
2620.92,39
2619.57,30
2618.21,30
2616.85,35
2615.49,41
2614.13,32
2612.77,35
2611.41,38
2610.06,43
2608.7,24
2607.33,35
2605.98,31
2604.61,25
2603.25,29
2601.89,26
2600.53,30
2599.17,40
2597.81,27
2596.45,26
2595.09,34
2593.72,25
2592.36,36
2591,34
2589.63,28
2588.27,22
2586.91,40
2585.54,28
2584.18,23
2582.82,28
2581.45,21
2580.09,24
2578.72,27
2577.36,30
2575.99,27
2574.62,27
2573.26,13
2571.89,25
2570.53,21
2569.16,26
2567.79,25
2566.43,27
2565.06,24
2563.69,21
2562.32,32
2560.95,18
2559.59,30
2558.22,25
2556.85,27
2555.48,17
2554.11,26
2552.74,21
2551.37,21
2550,28
2548.63,23
2547.26,25
2545.89,21
2544.52,16
2543.15,18
2541.77,20
2540.4,18
2539.03,25
2537.66,20
2536.29,30
2534.91,15
2533.54,24
2532.17,23
2530.79,21
2529.42,19
2528.04,20
2526.67,17
2525.3,19
2523.92,19
2522.54,16
2521.17,22
2519.79,20
2518.42,15
2517.04,23
2515.67,22
2514.29,31
2512.91,17
2511.54,19
2510.16,20
2508.78,25
2507.4,15
2506.02,20
2504.65,8
2503.27,18
2501.89,23
2500.51,21
2499.13,17
2497.75,25
2496.37,27
2494.99,28
2493.61,28
2492.23,14
2490.85,21
2489.47,16
2488.09,19
2486.71,26
2485.33,16
2483.94,13
2482.56,24
2481.18,25
2479.8,17
2478.41,22
2477.03,17
2475.65,23
2474.26,24
2472.88,25
2471.49,22
2470.11,29
2468.72,24
2467.34,25
2465.95,23
2464.57,18
2463.18,27
2461.8,18
2460.41,27
2459.02,24
2457.64,23
2456.25,21
2454.86,20
2453.48,23
2452.09,22
2450.7,23
2449.31,20
2447.92,23
2446.53,24
2445.15,17
2443.76,34
2442.37,20
2440.98,21
2439.59,16
2438.2,18
2436.81,23
2435.42,18
2434.03,26
2432.63,26
2431.24,20
2429.85,18
2428.46,28
2427.07,21
2425.67,17
2424.28,11
2422.89,27
2421.5,16
2420.1,16
2418.71,11
2417.31,18
2415.92,20
2414.53,19
2413.13,20
2411.74,16
2410.34,19
